task_id,text,department_id,employee_id,status,priority,estimated_time
56,"Будущая конкурентоспособность на финансовом рынке в условиях цифровизации зависит от создания глобальных экосистем, объединяющих большой спектр услуг в едином пользовательском интерфейсе, заявил председатель правления «Тинькофф Банка» Оливер Хьюз на Петербургском международном экономическом форуме (ПМЭФ).",14,133,success,high,36
57,"Жителю Кургана предъявили обвинение в экстремизме за переписку в мессенджере Telegram, пишет Znak.com. 51-летнему мужчине инкриминируются несколько преступлений, в частности, призывы к экстремизму и возбуждение ненависти или вражды. Обвиняемого заключили под стражу, ему грозит до 6 лет лишения свободы.<br />",13,162,in progress,high,8
58,"Житель британского города Мидлсбро Крис Скотт обнаружил в своем саду заброшенный бункер времен Второй мировой войны. В бомбоубежище, рассчитанном на 100 человек, оказалось две комнаты и аварийный выход. Скотт планирует перестроить бункер и использовать его под собственные нужды.",10,91,success,low,7
59,"Украинские СМИ посчитали некорректными плакаты с надписью «Футбольная Россия», размещенные в московском аэропорту Шереметьево. На плакатах изображены футболисты киевского «Динамо» Игорь Беланов и Евгений Рудаков, которые являются украинцами и не представляют футбольную Россию.",9,99,success,low,6
60,"Польская писательница Ольга Токарчук признана лауреатом международной Букеровской премии за роман Flights. В жюри премии отметили, что выбор лауреата в этом году дался нелегко, поскольку каждая работа, вошедшая в шорт-лист, была достойна приза. Токарчук присудили премию в 50 тысяч фунтов стерлингов.",8,132,success,low,31
61,"В Кремле обещают учитывать необходимость сохранения инвестиционной привлекательности России при реализации закона об ответственности за соблюдение антироссийских санкций, завил пресс-секретарь президента Дмитрий Песков. Так он отреагировал на слова Германа Грефа, который опасается ухода инвесторов их страны.",5,187,success,low,2
62,"Почти 12 тысяч подмосковных жителей приняли участие в акции «Здоровый город», направленной на борьбу с табакокурением, сообщил министр здравоохранения Мособласти Дмитрий Марков. «В торговых центрах, на улицах, в парках проводились дискуссии о вреде курения и обсуждения лучших практик по отказу от табака», — сказал он.",5,134,success,medium,9
63,"Очевидцы рассказали о массовом убийстве в селе Булгунняхтах Хангаласского улуса Якутии. Убийца — пенсионер 1952 года рождения. Он ворвался к соседям, где убил отца и сына Павловых. Потом застрелил Алексея Артамонова, а затем Анну Тимофееву и ее сына. Выжила только ее дочь, спрятавшаяся под кроватью.",18,171,success,low,26
64,"Россиянин Александр Винник признался в отмывании денежных средств в крупном размере. Явка с повинной поступила в Генпрокуратуру России. Информацию о явке с повинной подтвердил греческий адвокат Винника. По его словам, признание может послужить основанием для нового запроса России о выдаче ей своего гражданина.",15,159,success,high,2
65,"В столице Венесуэлы Каракасе проезд на метро стал бесплатным из-за отсутствия в стране бумаги для изготовления проездных билетов. Такая мера связана с прекращением поставки в страну сырья для производства оборудования метро, в том числе бумаги для изготовления билетов.",15,44,success,high,15
66,"Российский фотограф и тревел-блогер Сергей Доля, сопровождавший международный рекламный тур самолета Sukhoi Superjet-100 в качестве фотографа, поделился подробностями авиакатастрофы в 2012 году. По его словам, причиной столкновения лайнера с горой Салак признали человеческий фактор. Все находившиеся на борту погибли.",11,196,in progress,low,1
67,"Новая сумка британско-марокканского бренда En Shalla, которую представил на своем сайте онлайн-ретейлер Antropologie, вызвала волну возмущения среди палестинцев. Дизайнеры украсили пляжную сумку палестинским национальным узором, который обычно используется на мужских головных платках арафатках.",19,193,failed,high,26
68,"«Боинг» Malaysia Airlines над Донбассом в июле 2014 года сбил «Бук» российских вооруженных сил. К такому заключению пришла Совместная следственная группа, заявил представитель нидерландской прокуратуры на пресс-конференции. Он подчеркнул, что причины, по которым был сбит самолет, пока установить не удалось.",15,40,success,medium,38
69,"Закаменский районный суд Бурятии приговорил трех полицейских к пяти годам колонии каждого по делу о пытках задержанных. Их подкидывали к потолку, душили пакетом, избивали руками и ногами, пытали электрошокером. Задержанные признались в краже трех тонн кедровых орехов и были осуждены.",18,175,success,medium,25
70,"Необходимость сертификации всех продуктов животного происхождения в автоматизированной системе «Меркурий»  спровоцирует дефицит, полагают в Ассоциации компаний розничной торговли. Проблемы с поставками продуктов начнутся 1 июля — к этой дате все торговые сети должны подключиться к системе.",14,186,in progress,medium,3
71,"В ближайшем будущем в российских школах могут начать преподавать новый элективный курс для школьников и их родителей — о семейном укладе. Подростков подготовят к будущему родительству, обучат основам духовно-нравственного развития. Методические рекомендации разошлют в регионы до 1 июня.",5,130,success,low,33
72,"Ученые Калифорнийского университета зарегистрировали пучок позитронов, возникший в центре сильнейшего тропического циклона «Патрисия», который обрушился на Мексику в 2015 году. Это было первым наблюдением антиматерии, которая образовалась в атмосфере в результате земной вспышки гамма-лучей.",17,75,in progress,high,4
73,"Руководитель издания РИА Новости Украина Кирилл Вышинский обратился в Владимиру Путину с просьбой обеспечить ему защиту. В послании к президенту РФ Вышинский попросил принять все необходимые меры для его скорейшего освобождения, а также предоставить ему правовую защиту. С этими просьбами мужчина выступил на суде.",13,77,in progress,high,27
74,"Герлз-бэнд Pussycat Dolls подал в суд на владельца издания Daily Mail за статью о том, что участниц группы принуждали к проституции. Материал был опубликован в октябре 2017 года. В статье приводились слова бывшей участницы коллектива Кайи Джонс о том, что девушек из Pussycat Dolls заставляли заниматься сексом.",8,89,success,high,27
75,"Грузинский вор в законе, 36-летний Теймураз Чурадзе, известный в криминальных кругах как Алеко Шошия, был избит и лишился титула в турецком Стамбуле. Обидчиками Шошии стали воры в законе из Грузии Георгий Нижарадзе (Гия) и Гоча Алпаидзе (Алфасон), принадлежащие к одному из двух течений кутаисского воровского клана.",18,66,failed,medium,13
76,"Глава Минпромторга Денис Мантуров сообщил, что разработка внедорожника Aurus проекта «Кортеж» завершится в 2019 году. По словам чиновника, данный автомобиль станет самым массовым в линейке. Экспортировать новинку начнут не раньше конца 2020 года. Автомобили будут доступны не только для покупки, но и для аренды.",14,10,success,medium,20
77,"Полиция при содействии экспертов по кибербезопасности Group-IB задержала опасного хакера из Волгоградской области. По данным исследователей безопасности, 32-летний россиянин обвиняется в краже денег у клиентов банков при помощи трояна для смартфонов под управлением Android.",13,16,in progress,low,28
78,"Российские офицеры вернутся в Совместный центр по контролю и координации режима прекращения огня в Донбассе, если Украина выполнит ряд условий, заявил заместитель министра иностранных дел России Григорий Карасин. Москва требует от Киева безопасности офицеров РФ, а также возвращения в СЦКК представителей ДНР и ЛНР.",21,204,in progress,low,23
79,"Один из главных фигурантов дела о поставке кокаина из Аргентины в Россию Андрей Ковальчук, арестованный в Германии, рассказал о пробелах в материалах следствия и попросил суд не экстрадировать его в Россию. В своем обращении он отмечает, что некоторые факты, предоставленные следствию не соответствуют действительности.",15,159,success,low,10
